%ADC1	ADC2	ADC3	ADC4	ref	rigger	PM1_C	PM2_C	PM3_C	PM1_F	PM2_F	PM3_F
86	177	181	36	0	203	135	0	0	0	0	0	
205	47	48	155	0	203	32	0	0	0	0	0	
207	46	47	157	0	203	32	0	0	0	0	0	
207	45	45	158	0	203	31	0	0	0	0	0	
208	43	44	159	0	203	30	0	0	0	0	0	
209	42	43	162	0	203	30	0	0	0	0	0	
210	41	42	163	0	203	29	0	0	0	0	0	
212	40	40	165	0	203	28	0	0	0	0	0	
212	38	39	166	0	203	28	0	0	0	0	0	
213	37	38	167	0	203	27	0	0	0	0	0	
214	36	37	168	0	203	26	0	0	0	0	0	
214	35	36	170	0	203	26	0	0	0	0	0	
215	34	35	171	0	203	25	0	0	0	0	0	
216	32	34	173	0	203	24	0	0	0	0	0	
216	32	33	175	0	203	24	0	0	0	0	0	
217	30	32	176	0	203	23	0	0	0	0	0	
218	29	31	177	0	203	22	0	0	0	0	0	
219	28	30	178	0	203	21	0	0	0	0	0	
219	27	29	180	0	203	21	0	0	0	0	0	
219	26	28	181	0	203	20	0	0	0	0	0	
220	25	27	182	0	203	19	0	0	0	0	0	
220	25	26	184	0	203	19	0	0	0	0	0	
221	24	25	185	0	203	18	0	0	0	0	0	
221	23	25	186	0	203	17	0	0	0	0	0	
222	22	23	187	0	203	17	0	0	0	0	0	
222	21	23	188	0	203	16	0	0	0	0	0	
222	21	23	190	0	203	15	0	0	0	0	0	
223	20	21	190	0	203	15	0	0	0	0	0	
223	19	21	191	0	203	14	0	0	0	0	0	
223	19	20	192	0	203	13	0	0	0	0	0	
223	18	20	194	0	203	13	0	0	0	0	0	
223	17	19	194	0	203	12	0	0	0	0	0	
224	16	18	195	0	203	11	0	0	0	0	0	
224	16	18	196	0	203	10	0	0	0	0	0	
224	16	17	197	0	203	10	0	0	0	0	0	
224	15	17	199	0	203	9	0	0	0	0	0	
224	14	16	199	0	203	8	0	0	0	0	0	
224	14	16	200	0	203	8	0	0	0	0	0	
224	13	15	201	0	203	7	0	0	0	0	0	
224	13	15	202	0	203	6	0	0	0	0	0	
224	12	14	203	0	203	6	0	0	0	0	0	
223	12	14	204	0	203	5	0	0	0	0	0	
224	12	14	204	0	203	4	0	0	0	0	0	
