%ADC1	ADC2	ADC3	ADC4	ref	rigger	PM1_C	PM2_C	PM3_C	PM1_F	PM2_F	PM3_F
31	7	165	12	0	176	188	112	132	255	0	255	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	179	0	176	175	115	122	0	255	255	
29	7	166	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	12	5	12	0	176	175	115	122	0	0	0	
181	11	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	12	5	11	0	176	175	115	122	0	0	0	
181	11	4	11	0	176	175	115	122	0	0	0	
182	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	166	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	5	12	0	176	175	115	122	0	0	0	
180	12	5	12	0	176	175	115	122	0	0	0	
180	11	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	11	5	12	0	176	175	115	122	0	0	0	
180	10	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	166	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
179	12	5	12	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
182	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	12	6	12	0	176	175	115	122	0	0	0	
180	11	5	12	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	11	5	12	0	176	175	115	122	0	0	0	
181	10	5	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	12	6	12	0	176	175	115	122	0	0	0	
179	11	5	12	0	176	175	115	122	0	0	0	
181	10	5	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
29	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	11	5	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
29	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
179	11	5	11	0	176	175	115	122	0	0	0	
180	10	4	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	178	0	176	175	115	122	0	255	255	
30	7	165	14	0	176	175	115	122	255	0	255	
30	172	6	15	0	176	175	115	122	255	255	0	
178	13	6	12	0	176	175	115	122	0	0	0	
180	12	5	11	0	176	175	115	122	0	0	0	
180	10	5	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	179	0	176	175	115	122	0	255	255	
30	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
179	13	6	12	0	176	175	115	122	0	0	0	
179	12	5	12	0	176	175	115	122	0	0	0	
180	11	5	11	0	176	175	115	122	0	0	0	
181	10	4	11	0	176	175	115	122	0	0	0	
19	7	5	179	0	176	175	115	122	0	255	255	
30	7	165	14	0	176	175	115	122	255	0	255	
30	173	6	15	0	176	175	115	122	255	255	0	
